文章編號,永久連結,貼文訊息,類型,國家／地區,語言,已發佈,廣告受眾目標設定,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
127628276929_10157213664761930,https://www.facebook.com/cwgroup/posts/10157213664761930,你願意為一碗牛肉麵花多少錢？180元或250元？  位在台北民權東路的一家牛肉麵店登上美國電視新聞網CNN，原因是一碗1萬元的牛肉麵，老饕依然願意埋單。,Link,,,10/14/20, ,73906,73906,0,79236,79236,0,5595,5465,6910,6,6,71176,65580,0,0,4754,0,0,0,0,0,0,0,0,0,0
127628276929_10157214556506930,https://www.facebook.com/cwgroup/posts/10157214556506930,【日本老人憂「孤獨死」　「智慧冰箱」幫遠方親友守護長者】 　 獨居老人擔心自己過世時無法在第一時間被發現。該如何防止這類型的「孤獨死」，成為日本公部門急欲解決的社會問題。  住宅公社與IT新創公司合作，在65歲以上單身獨居老人住家裝設「智慧冰箱」，每天發送簡訊，讓身處外地的親友也能默默守護家中長者。,Link,,,10/14/20, ,40914,40914,0,45295,45295,0,1524,1311,1436,3,3,42633,38196,0,0,1380,0,0,0,0,0,0,0,0,0,0
127628276929_10157214524171930,https://www.facebook.com/cwgroup/posts/10157214524171930,【快停止這10個會讓皮膚缺水的習慣！！】  每到秋冬換季，你是否都得不停地為雙腿、雙手和臉部擦乳液；為什麼皮膚會那麼乾燥？怎麼做才可以正確改善？  -- 📣【訂閱頻道看更多】  升級《天下》LINE 免費訂閱頻道，掌握健康醫療知識零時差 立即前往>> https://maac.io/1ffCR,Link,,,10/14/20, ,17885,17885,0,20230,20230,0,779,759,793,2,2,19075,16925,0,0,710,0,0,0,0,0,0,0,0,0,0
127628276929_10157214523146930,https://www.facebook.com/cwgroup/posts/10157214523146930,【忍痛宣布　淘寶台灣要收攤了】  阿里巴巴集團去年透過英商克雷達來台設立分公司，以「淘寶台灣」名義經營電商平台，但卻遭經濟部列為陸資開鍘。  今天突然宣布將退出台灣市場，已關閉下單、上架等功能。,Link,,,10/14/20, ,47509,47509,0,51878,51878,0,2431,2164,2389,4,4,49128,44324,0,0,2261,0,0,0,0,0,0,0,0,0,0
127628276929_10157208408851930,https://www.facebook.com/cwgroup/posts/10157208408851930,#廣編企劃【危機變轉機，如何發現數位新商機？】  Unidbox Hardware公司的老闆 Wong Hing Kong認為， 無論面對什麼樣的環境變數，企業都要保持果斷，並採取相對應的措施。  他無畏疫情衝擊，反而超前部署盡力將業務朝數位化發展，迎戰疫情挑戰。  #企業轉型 #星展銀行 #數位 #商機,Link,,,10/14/20, ,12606,12606,0,14209,14209,0,149,92,101,1,1,12013,10769,0,0,130,0,0,0,0,0,0,0,0,0,0
127628276929_10157214328461930,https://www.facebook.com/cwgroup/posts/10157214328461930,【這個高壽的組織，正遭逢成立以來最艱鉅挑戰】  在疫情風暴籠罩下，今年聯合國只能低調慶祝75歲生日。秘書長古特雷斯在紀念大會上難掩落寞神情，因為這個高壽的組織正遭逢成立以來最艱鉅的挑戰，這個最大的威脅竟是...........  🔥更多精彩內容，請看《台灣起跑　亞洲新熱點》https://bit.ly/33yzpCl,Link,,,10/14/20, ,23948,23948,0,26373,26373,0,1051,1001,1139,1,1,24737,22279,0,0,972,0,0,0,0,0,0,0,0,0,0
127628276929_10157212749691930,https://www.facebook.com/cwgroup/posts/10157212749691930,#廣編企劃【New Taipei Women Power：趙軒 健康盟創辦人 用動畫搭起醫病橋梁】 　 #新北女力 第2季 #勇敢無畏 持續熱映中 29歲的#健康盟創辦人#趙軒 帶領團隊製作生動活潑的懶人包和動畫，傳達嚴肅的衛教知識 創業想法來自在醫院工作時期，發現一般民眾對制式的衛教文宣興趣缺缺 立志用自己的公衛背景，擔任醫病間的溝通橋樑 創業初期曾遭受各種冷嘲熱諷，包括被質疑非醫師身份、女性創業的能力等 但她的堅持，讓她的團隊不僅收到來自診所、醫師的正面回饋 並在今年初受衛福部肯定而協助其完成社交距離的宣導動畫 　 她說：『在過程當中你可以喊累，但是絕對不能放棄』 　 #新北市林口新創園區 #新北市板橋蝴蝶公園　#NewTaipeiwomanPower #迪奧 #超完美粉底,Video,,,10/14/20, ,52699,29621,24414,57168,33131,24037,1029,746,1133,7,7,26890,24429,1812,1801,367,27617,35912,5,5,74003,119465,735,735,91637,271440
127628276929_10157214399316930,https://www.facebook.com/cwgroup/posts/10157214399316930,【分析師：民調和媒體可能都低估川普連任的可能性】  首席策略師艾曼紐研究將近一世紀的選舉年股市資料發現，1928年以來，只要美股標普500指數在總統大選前三個月呈現上漲局面，執政黨贏得選舉的機率高達90%。  儘管現任總統川普連任展望不太樂觀，但市場真正反應是如何？下個月揭曉！  🔥免費訂閱《天下電子報》，每日關鍵新聞不漏接 >> https://bit.ly/3gezkXB,Link,,,10/14/20, ,26664,26664,0,29589,29589,0,1242,1148,1231,1,1,27644,24853,0,0,1145,0,0,0,0,0,0,0,0,0,0
127628276929_10157212910461930,https://www.facebook.com/cwgroup/posts/10157212910461930,無論月薪是3萬還是25萬，如果校友會淪為同學間彼此炫耀比較的場合，奉勸你直接撕掉那張邀請函。不要讓五年以後的聚會場景，影響今日你所做的種種決定。,Link,,,10/14/20, ,31387,31387,0,33810,33810,0,1353,1292,1557,4,4,31792,29464,0,0,1264,0,0,0,0,0,0,0,0,0,0
