,區號名
0,(0018)中濱段
1,(0001)日新段一小段
2,(0002)日新段二小段
3,(0003)日新段三小段
4,(0004)日新段四小段
5,(0005)日新段五小段
6,(0006)日新段六小段
7,(0007)日新段七小段
8,(0025)正隆段
9,(0021)和平段
10,(0008)忠義段一小段
11,(0009)忠義段二小段
12,(0010)忠義段三小段
13,(0011)忠義段四小段
14,(0012)忠義段五小段
15,(0013)忠義段六小段
16,(0151)東岸段
17,(0152)東海段
18,(0024)長潭段
19,(0126)基隆嶼
20,(0019)祥豐段
21,(0026)彭佳嶼段
22,(0127)棉花嶼段
23,(0014)港灣段一小段
24,(0015)港灣段二小段
25,(0016)港灣段三小段
26,(0017)港灣段四小段
27,(0020)港濱段
28,(0300)調和段
29,(0228)大安段一小段
30,(0229)大安段二小段
31,(0230)大安段三小段
32,(0217)仁愛段一小段
33,(0218)仁愛段二小段
34,(0219)仁愛段三小段
35,(0220)仁愛段四小段
36,(1201)仁愛段五小段
37,(1202)仁愛段六小段
38,(0239)辛亥段一小段
39,(0241)辛亥段三小段
40,(0242)辛亥段四小段
41,(0243)辛亥段五小段
42,(1203)辛亥段六小段
43,(0200)金華段一小段
44,(0201)金華段二小段
45,(0202)金華段三小段
46,(0203)金華段四小段
47,(0211)通化段一小段
48,(0212)通化段二小段
49,(0213)通化段三小段
50,(0214)通化段四小段
51,(0215)通化段五小段
52,(0216)通化段六小段
53,(0225)復興段一小段
54,(0226)復興段二小段
55,(0227)復興段三小段
56,(0207)瑞安段一小段
57,(0208)瑞安段二小段
58,(0209)瑞安段三小段
59,(0210)瑞安段四小段
60,(0221)學府段一小段
61,(0222)學府段二小段
62,(0223)學府段三小段
63,(0224)學府段四小段
64,(0021)龍泉段一小段
65,(0022)龍泉段二小段
66,(0023)龍泉段三小段
67,(0235)懷生段一小段
68,(0236)懷生段二小段
69,(0237)懷生段三小段
70,(0238)懷生段四小段
71,(0204)中正段一小段
72,(0205)中正段二小段
73,(0206)中正段三小段
74,(0251)公園段一小段
75,(0252)公園段二小段
76,(0253)公園段三小段
77,(0001)永昌段一小段
78,(0002)永昌段二小段
79,(0003)永昌段三小段
80,(0004)永昌段四小段
81,(0005)永昌段五小段
82,(0157)永昌段六小段
83,(0248)成功段一小段
84,(0249)成功段二小段
85,(0250)成功段三小段
86,(0008)河堤段一小段
87,(0009)河堤段二小段
88,(0010)河堤段三小段
89,(0011)河堤段四小段
90,(0012)河堤段五小段
91,(0013)河堤段六小段
92,(0014)南海段一小段
93,(0015)南海段二小段
94,(0016)南海段三小段
95,(0017)南海段四小段
96,(0018)南海段五小段
97,(0254)城中段一小段
