說明,文章編號,永久連結,貼文訊息,類型,國家／地區,語言,已發佈,廣告受眾目標設定,like,comment,share
Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),127628276929_10157269247876930,https://www.facebook.com/cwgroup/posts/10157269247876930,#廣編企劃【微電商時代來臨！】  一瓶熬夜霜，創造三天五百萬的銷售額，說明了微電商的潛力。  究竟什麼是「微電商」？二○一六年K.C WinWin以潮流美妝姿態開拓微商藍海，讓一群娘子軍開創個人事業，翻轉經濟、改變人生，吹響台灣正式進入微電商時代的號角！  #微電商 #億元資本 #美妝,Link,,,11/8/20, ,19,3,
,127628276929_10157247338311930,https://www.facebook.com/cwgroup/posts/10157247338311930,台灣超商的密度堪稱世界第一，但獲利依然良好，關鍵又在哪裡？清華講座教授暨美光講座教授簡禎富為你解答。,Link,,,10/30/20, ,11,,2
,127628276929_10157246754036930,https://www.facebook.com/cwgroup/posts/10157246754036930,#Off學【巴黎不是只有浪漫，法國女人也不總是優雅】  從未到過法國的亞洲人，多半喜歡把「浪漫」這個形容詞與法國，特別是花都巴黎畫上等號，但其實，真實的法國生活，完全不是想像中的樣子！全世界有的社會問題，法國都有，甚至更誇張......  而素以優雅形象聞名的法國女人，實則忙碌到邊走路邊抽菸，或者就在地鐵上化妝，想要穿得漂亮，卻也想省錢，日子過得再焦慮，也要維持表面的光鮮。法國女人現實得很，一點也不「浪漫」！  --------------------------------------------- 【給最懂生活的你，歡迎訂閱 Off學電子報】 https://bit.ly/2X9AYSK,Link,,,10/30/20, ,12,,5
,127628276929_10157248722676930,https://www.facebook.com/cwgroup/posts/10157248722676930,◤陳俊志：同志，讓我成為無父之人◢ 第18屆同志大遊行今天在台北登場！ 主題「成人之美」期待在台灣多元社會中 不論身分、性別、認同、年齡、國籍 每個人都能找到自在的位置並展現自己的美。 　 回顧一生為同志發聲的已故導演陳俊志， 當年就因出櫃而成為了無父之人... 　 至少我跟白先勇《孽子》的情境也差了20年吧， 為什麼兒子被父親趕出家門的情境會發生在我身上？ 我覺得荒謬極了。－已故導演 陳俊志   #我只期盼_下一代的同性戀者不用再受到歧視 －陳俊志 --- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　　 ＃天下雜誌video 臺灣同志遊行 Taiwan LGBT Pride Pride of Taiwan LGBT,Video,,,10/30/20, ,63,2,7
,127628276929_10157248625956930,https://www.facebook.com/cwgroup/posts/10157248625956930,#一週圖表【不能只有台積電！台韓市值前十大企業比照表】 　 過去15年間，台灣上市櫃公司的複合成長率（CAGR）達14%，但在扣除台積電以後，#僅剩下2%。台灣，成了一個人的武林。 　 一直是台灣「直接競爭者」的韓國，反財閥、走新路，迎來新創百花齊放，反觀台灣，仍留在舊時代的榮光，靠半導體、電子與石化業打天下。 　 台韓為何走上不同的發展路線？《天下》分別專訪台韓兩位重量級社會經濟學家，思考台灣除了靠台積電外，要怎麼一路贏下去？ 　 【完整市值排行，請看《天下》深度分析】  #完整企業榜單 0 vs.7家新產業｜台灣市值前十大都老面孔，韓國為何換血成功 https://bit.ly/2HQ7O7f  #新創如何崛起 以前韓國人生老病死離不開三星，現在換Kakao！這個新財閥是誰？ https://bit.ly/2HSrZBb  #新世代的矛盾 《82年生的金智英》作者看韓國：年輕一代愈來愈絕望 https://bit.ly/3kKn8AQ - 🔥不斷更新》美國總統大選最終動態　一次看搖擺州誰領先  https://bit.ly/2Ht6p64,Photo,,,10/30/20, ,329,16,49
,127628276929_10157240564306930,https://www.facebook.com/cwgroup/posts/10157240564306930,#廣編企劃 《千大企業家》百德機械謝瑞木的「第三人生」策略  當人生的成就已處在多數人眼中的頂峰地位，你會選擇為自己打造怎樣的第三人生？ 產品被稱為「CNC工具機中的勞斯萊斯」、一生以世界最高的精準規格綜橫全球市場， 百德機械董事長謝瑞木對第三人生的規劃卻卻是擁抱腳下熟悉的土地， 蓋一棟屬於自己和家人的木屋，揮別鋼筋水泥，享受原始與便利兼具、樸實與豪奢交織的半田園生活。  #第三人生 #建築 #居林木構 #居家 #木屋 #退休,Link,,,10/30/20, ,15,1,2
,127628276929_10157246316401930,https://www.facebook.com/cwgroup/posts/10157246316401930,【媒體如何認清先天障礙，強化自身優勢突圍而出？】  創站時只有25名員工的石英（Quartz）是一個年輕財經媒體的名字，或許也是近年最創新、最大膽的新聞嘗試。  它的崛起、挫敗與掙扎，具體印證數位媒體各項艱鉅挑戰：廣告市場結構變化、外在競爭焦慮、庸俗化的誘惑、經營權轉移……，現實往往讓人措手不及。看看它有什麼樣創新的改變？  🔥更多精彩內容，請看《不能只有台積電》 https://bit.ly/31lrYNn,Link,,,10/30/20, ,12,,
,127628276929_10157247611061930,https://www.facebook.com/cwgroup/posts/10157247611061930,【#天下一週】為你趕進度   📌 法國尼斯斬首恐怖攻擊：法國尼斯29日發生持刀恐怖攻擊致3人死亡。兩週前法國歷史老師帕第在巴黎郊區被斬首，而他生前曾向學生展示穆罕默德的諷刺漫畫。在接連與穆斯林極端分子有關的攻擊事件後，法國總理將國家安全警戒拉到「緊急」層級。  📌 中天換照風波：國家通訊傳播委員會（NCC）23日召開中天電視換照聽證會，中天支持者認為新聞自由不該受到干預，反對者則認為中天違反「依事實報導」這條媒體鐵律，缺乏媒體自律。  📌 #2020台灣同志大遊行：2020第18屆台灣同志大遊行10月31日登場，本屆主題為「成人之美」，強調多樣性別不該只是被看見，更應該被理解以及尊重。  🔥 更多新聞大事，點開圖卡，一次掌握。  ▌掌握趨勢、報導真相，立即加入《天下》Line http://bit.ly/2W44ZBq,Photo,,,10/30/20, ,75,,5
,127628276929_10157246676711930,https://www.facebook.com/cwgroup/posts/10157246676711930,【優惠倒數最後一天！】  天下雜誌10期+年度10大暢銷書任選 現省1500元起！  熱門選書推薦 ！ 記得你是誰：https://bit.ly/3oC1OzH 教練：https://bit.ly/3oEpgfQ 總有一天你會懂：https://bit.ly/3oDJXZh 把握機會，立即訂閱！>>https://bit.ly/37TDIuw,Photo,,,10/30/20, ,4,,
,127628276929_10157244892136930,https://www.facebook.com/cwgroup/posts/10157244892136930,【15種火龍果品種大公開！】#台灣 #水果  火龍果在栽培技術之下，一年四季都可以出現在餐桌上，除了紅肉、白肉火龍果之外，竟然還有黃色、綠色的外衣，粉色、雙色、漸層果肉的火龍果......→  文章來源：微笑台灣319鄉+,Link,,,10/30/20, ,36,4,7
,127628276929_10157246741011930,https://www.facebook.com/cwgroup/posts/10157246741011930,【李健熙如何將三流公司，打造為富可敵國的巨型企業？】 　 李健熙十分重才，就算年薪比社長高2～3倍都沒關係，並且要求員工，碰到問題時，用不同角度問５次為什麼，才能真正找到原因。 　 善用「鯰魚效應」，也成為李健熙得以活化組織的關鍵。韓國所謂的「鯰魚」，常指來勢洶洶的競爭對手，等同於中文的「黑馬」。在一攤死水裡擺進一隻生龍活虎的鯰魚，往往能讓其他同事感受生存壓力。 　 🎇《Cheers》雜誌20週年！20個重磅名人，有話對你說 >>>https://cheerssocial.pse.is/wpuu,Link,,,10/30/20, ,7,2,
,127628276929_10157247160476930,https://www.facebook.com/cwgroup/posts/10157247160476930,#企業突圍【比起當老闆，他更愛叫自己農夫兼主廚】 　 自己種菜、打掃餐廳，陳昶福雖然是華泰大飯店集團二代，卻是最接地氣的「富二代」。他堅持，「無論什麼料理，確保食材新鮮，本就是廚師職責。」 　 因此，他租下深坑300多坪農地，從播種、施肥到收成全部自己來，一週跑農場3、4天。他笑著說，現在有時候喜歡種菜更大過廚房。  - 🔥訂閱「#企業突圍電子報」，立即掌握最新產業趨勢、經營管理心法 >> https://bit.ly/2LnMp3F,Link,,,10/30/20, ,195,5,18
,127628276929_10157246008356930,https://www.facebook.com/cwgroup/posts/10157246008356930,【獨家】核心系統更換變成災難 台北富邦銀行怎麼了？  「這是未來3～5年，台灣所有銀行的痛，」一位純網銀高層示警。  一位高層苦笑，「以前問資訊長，該不該換核心，每個都說該換，但什麼時候換，都說等他退休再換」。  換核心系統的成本和風險都太大了？,Link,,,10/30/20, ,179,16,13
,127628276929_10157244455666930,https://www.facebook.com/cwgroup/posts/10157244455666930,【吃得很清淡 健檢高血壓？6大外食地雷 你吃了幾種】  上班好累， 人生好難，暫時離開辦公室去享受一頓美食，真是忙碌上班族的小確幸。只是，很多好吃的餐點，「鹽質爆表」，美食療癒心靈的同時，如果攝取過多的鈉，小心血管默默哭泣。,Link,,,10/30/20, ,43,,13
,127628276929_10157244460676930,https://www.facebook.com/cwgroup/posts/10157244460676930,【最先喊台積股價500元分析師　侯明孝：明年底前它會一直高潮迭起】  《天下》專訪最先喊出台積電500元目標價的「最狂分析師」侯明孝侯明孝，他怎麼看台積未來，以及英特爾委外代工影響？,Link,,,10/30/20, ,4,1,1
,127628276929_10157246796911930,https://www.facebook.com/cwgroup/posts/10157246796911930,【黃惠偵：傷痕並不丟臉，我陪媽媽走一段】 明天台灣將迎來第18屆同志大遊行， Google地圖也將出現「彩虹路線」， 讓使用者可以透過這項功能看到相關的活動資訊。 　 早在台灣通過同婚專法之前， 許多人就以拍攝電影的方式 揭開同志們面臨的不公與傷痛， 其中導演黃惠偵就用20年拍攝了一部紀錄片 紀錄自己陪伴同志媽媽與傷疤和解的過程。 　 黃惠偵：妳覺得有人了解妳嗎？ 黃媽媽：...誰要了解我... ---- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　 #天下雜誌video,Video,,,10/30/20, ,147,3,10
,127628276929_10157245962121930,https://www.facebook.com/cwgroup/posts/10157245962121930,【陳文茜：我們如何修煉死亡？】  死亡是什麼？人們為何如此懼怕？  物理學家霍金曾說了一句冒犯上帝的話，「人要愉悅地活著，只有接受自己會死亡，沒有永生，人才懂得珍惜眼前的日子。」  我開始練習和死亡對話；當我開始面對真正的「一無所有」，我學會了對生命更多的寬容。,Link,,,10/30/20, ,56,2,19
,127628276929_10157246635516930,https://www.facebook.com/cwgroup/posts/10157246635516930,#夜間輕讀【談感情，至少拿出你對工作三分之一的耐性】  交往8年，38歲結婚，至今7年多。路嘉怡臉上沒有兩個人在一起10多年的彈性疲乏，說起自己對感情的投入，她毫無保留：「談戀愛，幾乎耗盡我所有的腦力和心思」  她知道世上沒有完美的伴侶，為了避免無謂的摩擦，兩人相互訂下大大小小的規矩。「覺察，是改變的開始，」當時時留心著更好的相處模式，捕捉著對方眼中一閃而過的心情，這一項項的「硬性規定」，開始變成了點點滴滴的默契。,Link,,,10/30/20, ,64,,24
,127628276929_10157246232391930,https://www.facebook.com/cwgroup/posts/10157246232391930,【面對愛情不要著急，面對自己誠實就好】  30歲後，青春隨著時間慢慢變老，才發現執著的情感也會隨著歲月變的沒那麼重要。以前總為誰愛誰多，誰愛誰少，誰又為誰神傷，卻也把大半人生最真實的情感消耗。  不要擔心會寂寞，走著走著或許就有一個人跟著你一起走，然後學著一起為喜歡的生活認真過。  🔥填問卷送「天下全閱讀」一個月 >>https://bit.ly/3oEB5Cz,Link,,,10/30/20, ,396,9,123
,127628276929_10157245951771930,https://www.facebook.com/cwgroup/posts/10157245951771930,這種健走方式，燃燒卡路里的效果相當強大。  許多研究已經證實，這樣走比一般健走多燃燒18％至67％的卡路里。,Link,,,10/30/20, ,54,,21
