sect,number,County,Town,Village,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七甲段,489,臺南市,六甲區,七甲里,23.15814,120.15364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二重溪段,497,臺南市,大內區,曲溪里,23.12496,120.38598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十六甲段,1320,臺南市,下營區,新興里,23.23455,120.27912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十六甲段,1354,臺南市,下營區,新興里,23.23364,120.27918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十六甲段,1374,臺南市,下營區,賀建里,23.23231,120.28208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三塊厝段,33-20,臺南市,官田區,渡頭里,23.16175,120.34712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三塊厝段,33-20,臺南市,官田區,渡頭里,23.16175,120.34712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下山子寮段,264,臺南市,七股區,龍山里,23.1406,120.10874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下山子寮段,64-20,臺南市,七股區,鹽埕,23.15002,120.10066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下營段,2972,臺南市,下營區,仁里里,23.15168,120.10081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口寮段,187-1,臺南市,將軍區,三吉里,23.20377,120.12429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土溝段,2101,臺南市,後壁區,土溝里,23.37982,120.39679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大內段,1221,臺南市,大內區,石湖里,23.37999,120.39735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大內段,159,臺南市,大內區,石湖里,23.13957,120.36132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大內段,2053,臺南市,大內區,石湖里,23.14021,120.36137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大客段枋子林小段,1154,臺南市,東山區,科里里,23.29127,120.38968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大塭寮段,1527,臺南市,西港區,竹林里,23.1125,120.18317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山子脚段,2266,臺南市,將軍區,長沙里,23.11831,120.18106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山子脚段,2275,臺南市,將軍區,長沙里,23.21169,120.10627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山子脚段,2283,臺南市,將軍區,長沙里,23.21271,120.10691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山子脚段,2287,臺南市,將軍區,長沙里,23.21243,120.10754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中坑段,Apr-48,臺南市,南化區,北平里,23.06528,120.47771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中社段,1220,臺南市,六甲區,中社里,23.23827,120.33649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中洲段,46,臺南市,學甲區,光華里,23.23888,120.3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六分寮段,2120,臺南市,善化區,田寮里,23.15201,120.31053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北勢寮段,1373,臺南市,麻豆區,北勢里,23.15273,120.31002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北勢寮段,2494,臺南市,麻豆區,北勢里,23.20655,120.24683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北勢寮段,2499,臺南市,麻豆區,北勢里,23.20219,120.23705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北勢寮段,2501,臺南市,麻豆區,北勢里,23.20195,120.23653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北勢寮段,2509,臺南市,麻豆區,北勢里,23.20185,120.23605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永安段,1453,臺南市,白河區,永安里,3.20273,120.23616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永安段,29,臺南市,官田區,嘉南里,23.35066,120.41528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉成段,110,臺南市,玉井區,玉田里,23.35089,120.4159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白沙屯段,1411,臺南市,後壁區,菁寮里,23.37735,120.32614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
光明段,149,臺南市,學甲區,中洲里,23.11998,120.46696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宅子港段,165-315,臺南市,學甲區,宅港里,23.25091,120.19611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宅子港段,165-1283,臺南市,學甲區,新達里,23.25115,120.19708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宅子港段,165-552,臺南市,學甲區,新達里,23.23796,120.21385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宅子港段,166-34,臺南市,學甲區,新達里,23.24792,120.21331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭山段,156,臺南市,柳營區,旭山里,23.24653,120.19889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭山段,158,臺南市,柳營區,旭山里,23.28302,120.38901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭山段,165,臺南市,柳營區,旭山里,23.28299,120.38951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭山段,91,臺南市,柳營區,旭山里,23.28389,120.38866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭山段,96,臺南市,柳營區,旭山里,23.28409,120.38918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛聖段,302,臺南市,玉井區,竹圍里,23.28395,120.38881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛聖段,585-1,臺南市,玉井區,竹圍里,23.13046,120.4747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刣豬厝段,970-1,臺南市,歸仁區,武東里,23.12996,120.4688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刣豬厝段,970,臺南市,歸仁區,武東里,22.91858,120.26624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刣豬厝段,988,臺南市,歸仁區,武東里,22.91946,120.26631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沙崙段,776,臺南市,歸仁區,沙崙里,22.9196,120.26684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芒子芒段,367,臺南市,玉井區,三和里,23.09283,120.46527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芒子芒段,990-8,臺南市,玉井區,三和里,23.08856,120.4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岩埤段,162,臺南市,六甲區,龍湖里,23.0931,120.46594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
忠興段,503,臺南市,將軍區,長榮里,23.19576,120.16875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
忠興段,503-63,臺南市,將軍區,長榮里,23.19567,120.16942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東山段,1341,臺南市,東山區,東正里,23.32097,120.41058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東山段,1342,臺南市,東山區,東正里,23.3212,120.41096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東山段,1344,臺南市,東山區,東正里,23.32142,120.4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東正段,914,臺南市,東山區,東正里,23.32325,120.40939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東勢寮段二小段,215,臺南市,善化區,東昌里,23.32381,120.40951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東勢寮段二小段,237,臺南市,善化區,東昌里,23.14999,120.32748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林鳳營段,148,臺南市,六甲區,龜港里,23.2556,120.34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果毅後段,1788,臺南市,柳營區,果毅里,23.25936,120.37549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河東段,773,臺南市,白河區,河東里,23.34248,120.43025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社子段,125,臺南市,官田區,社子里,23.34322,120.42941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保生段,187,臺南市,楠西區,鹿田里,23.18698,120.3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保源段,1683,臺南市,將軍區,忠興里,23.15172,120.48536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義段,131,臺南市,學甲區,明宜里,23.23719,120.17267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
