sect,number,city,town,Village,Latitude,Longitude
大坪頂段 ,1400000,苗栗縣,通霄鎮,坪頂里,24.265009,120.42189
大坪頂段,140-30 ,苗栗縣,通霄鎮,坪頂里,24.264969,120.421881
南勢林坑段,1061,苗栗縣,苑裡鎮,南勢里,24.37643,120.70876
南勢林坑段,1068,苗栗縣,苑裡鎮,南勢里,24.223315,120.423207
南勢林坑段,494,苗栗縣,苑裡鎮,南勢里,24.231813,120.42894
北勢窩段,538,苗栗縣,通霄鎮,福源里,24.51199,120.7094
北勢窩段,539,苗栗縣,通霄鎮,福源里,24.51185,120.7089
北勢窩段,539-1,苗栗縣,通霄鎮,福源里,24.51149,120.7092
北勢窩段,547,苗栗縣,通霄鎮,福源里,24.51214,120.7088
北勢窩段,1350,苗栗縣,通霄鎮,福源里,24.51241,120.7092
北勢窩段,1288,苗栗縣,通霄鎮,福源里,24.51153,120.7097
北勢窩段,540,苗栗縣,通霄鎮,福源里,24.51116,120.7092
北勢窩段,1287,苗栗縣,通霄鎮,福源里,24.512,120.7098
北勢窩段,1289,苗栗縣,通霄鎮,福源里,24.51137,120.7098
通平段,711-1,苗栗縣,通霄鎮,通灣里,24.51158,120.68566
通平段,753,苗栗縣,通霄鎮,通灣里,24.51174,120.68613
通平段,754,苗栗縣,通霄鎮,通灣里,24.51197,120.68638
通灣段,1209,苗栗縣,通霄鎮,通灣里,24.51375,120.68986
通灣段,1210,苗栗縣,通霄鎮,通灣里,24.51375,120.68927
通灣段,1223,苗栗縣,通霄鎮,通灣里,24.51461,120.68975
通灣段,1224,苗栗縣,通霄鎮,通灣里,24.514,120.68957
通灣段,1225,苗栗縣,通霄鎮,通灣里,24.51325,120.68965
通灣段,817,苗栗縣,通霄鎮,通灣里,24.51748,120.68766
通灣段,818,苗栗縣,通霄鎮,通灣里,24.51722,120.68857
通灣段,831,苗栗縣,通霄鎮,通灣里,24.51756,120.68937
通灣段,832,苗栗縣,通霄鎮,通灣里,24.5173,120.68945
大坪頂段,323,苗栗縣,通霄鎮,坪頂里,24.44329,24.44329
北勢窩段,1314,苗栗縣,通霄鎮,福源里,24.50504,120.70048
北勢窩段,1314-1,苗栗縣,通霄鎮,福源里,24.50538,120.70012
北勢窩段,1314-2,苗栗縣,通霄鎮,福源里,24.50538,120.69987
北勢窩段,1315,苗栗縣,通霄鎮,福源里,24.50513,120.69983
北勢窩段,685-6,苗栗縣,通霄鎮,福源里,24.50505,120.69953
福東段,233,苗栗縣,公館鄉,福基村,24.46735,120.8358
內湖西段,89,苗栗縣,通霄鎮,內湖里,24.50202,120.70065
內湖西段,Feb-89,苗栗縣,通霄鎮,內湖里,24.5018,120.70013
內湖西段,90,苗栗縣,通霄鎮,內湖里,24.50152,120.69984
內湖西段,100,苗栗縣,通霄鎮,內湖里,24.50121,120.69982
內湖西段,101,苗栗縣,通霄鎮,內湖里,24.50166,120.69971
內湖西段,103,苗栗縣,通霄鎮,內湖里,24.50113,120.69928
高埔段,920-4,苗栗縣,西湖鄉,下埔村,24.51458,120.75295
興埔段,742,苗栗縣,頭份市,興隆里,24.46887,120.83555
僑善段,614,苗栗縣,頭份市,新華里,24.70733,120.93133
僑善段,615,苗栗縣,頭份市,新華里,24.68444,120.93928
僑善段,618,苗栗縣,頭份市,新華里,24.68476,120.93895
興埔段,205-1,苗栗縣,頭份市,興隆里,24.6849,120.93805
興埔段,205-2,苗栗縣,頭份市,興隆里,24.70683,120.93864
興埔段,208,苗栗縣,頭份市,興隆里,24.70729,120.93918
觀音段,302,苗栗縣,頭份市,興隆里,24.70795,120.94038
觀音段,303,苗栗縣,頭份市,興隆里,24.703,120.94022
觀音段,317,苗栗縣,頭份市,興隆里,24.70332,120.94084
南勢坑小段,316-7,苗栗縣,苗栗市,新川里,24.57623,120.80151
南勢坑小段,316-8,苗栗縣,苗栗市,新川里,24.57673,120.80205
南勢坑小段,272-23,苗栗縣,苗栗市,新川里,24.57615,120.80266
南勢坑小段,272-24,苗栗縣,苗栗市,新川里,24.57538,120.80203
南勢坑小段,272-25,苗栗縣,苗栗市,新川里,24.57406,120.8019
